"CommodityType","HS.Code","Goods.Comm..Dsc.1","Goods.Comm..Dsc.","total","principleExportCategory","Principle.ReExportsCategory","principleImportCategory"
"IMPORT","34053000","Polishes and similar preparations for coachwork (excl. metal polishes)","WAXES",2413,"Other products","Other products ","Other Imports"
"IMPORT","38089100","Insecticides","MITE REMOVER",2413,"Other products","Other products ","Other Imports"
"IMPORT","39191000","In rolls of width =<20cm","SEALING ROLL",2413,"Other products","Other products ","Other Imports"
"IMPORT","44170000","Tools..., broom or brush bodies... of wood; boot or shoe trees of wood","WOODEN POLES & CLEAN POLE",2413,"Wood and articles of wood; wood charcoal","Other products ","Other Imports"
"IMPORT","84099900","Other","OIL CONTAINER",2413,"Other products","Other products ","Other Imports"
"IMPORT","85219000","Other","VIDEO RECORDER",2413,"Other products","Other products ","Other Imports"
"IMPORT","85369000","Other apparatus","TEST CLAMP TERMINAL",2413,"Other products","Other products ","Other Imports"
"IMPORT","87089900","Other","KING PIN SET - MIT/FOOT STEP",2413,"Other products","Other products ","Other Imports"
"IMPORT","90079100","For cameras","BRIDGING DEVICE",2413,"Other products","Other products ","Other Imports"
"IMPORT","96032900","Other","PAINT ROLLER BRUSH",2413,"Other products","Other products ","Other Imports"
"IMPORT","90141000","Direction finding compasses","COMPASS",2408,"Other products","Other products ","Other Imports"
"IMPORT","85366900","Other","ELECTRICAL CONNECTORS",2407,"Other products","Other products ","Other Imports"
"IMPORT","30059000","Other","SOFFBAN NATURAL 5CM",2404,"Other products","Other products ","Other Imports"
"IMPORT","44209000","Other","EARRING STAND/ NECKLACE STAND",2401,"Wood and articles of wood; wood charcoal","Other products ","Other Imports"
"IMPORT","70200000","Other articles of glass.","PHONE SCREEN & CAMERA LENS PROTECTOR",2401,"Other products","Other products ","Other Imports"
"IMPORT","71171900","Other","PENDANT EARINGS",2400,"Other products","Other products ","Other Imports"
"IMPORT","87089900","Other","REAR PULL ROD 4WD",2393,"Other products","Other products ","Other Imports"
"IMPORT","87089900","Other","REAR STABILIZER BAR",2393,"Other products","Other products ","Other Imports"
