HS.Code,TAR_ALL,TAR_DSC,Principle Exports,Principle ReExports,Principle Imports,Classifications Combined,Unit Qty,Import Duty Rate
85171200,Toasters,Toasters,Other products,Other products ,"Telephone sets, including telephones for cellular networks or for other wireless networks","Telephone sets, including telephones for cellular networks or for other wireless networks",NMB,15
85171800,Other,Other,Other products,Other products ,"Telephone sets, including telephones for cellular networks or for other wireless networks","Telephone sets, including telephones for cellular networks or for other wireless networks",NMB,15
85176100,Electric heating resistors,Electric heating resistors,Other products,Other products ,"Telephone sets, including telephones for cellular networks or for other wireless networks","Telephone sets, including telephones for cellular networks or for other wireless networks",NMB,15
85176200,Parts,Parts,Other products,Other products ,"Telephone sets, including telephones for cellular networks or for other wireless networks","Telephone sets, including telephones for cellular networks or for other wireless networks",KGM,15
85176900,Line telephone sets with cordless handsets,Line telephone sets with cordless handsets,Other products,Other products ,"Telephone sets, including telephones for cellular networks or for other wireless networks","Telephone sets, including telephones for cellular networks or for other wireless networks",NMB,0
85177000,Telephones for cellular networks or for other wireless networks,Telephones for cellular networks or for other wireless networks,Other products,Other products ,"Telephone sets, including telephones for cellular networks or for other wireless networks","Telephone sets, including telephones for cellular networks or for other wireless networks",NMB,0
85181000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,0
85182100,Base stations,Base stations,Other products,Other products ,Other Imports,Other products ,NMB,0
85182200,"Machines for the reception, conversion, transmission or regeneration of voice, etc,..","Machines for the reception, conversion, transmission or regeneration of voice, etc,..",Other products,Other products ,Other Imports,Other products ,NMB,0
85182900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,0
85183000,Parts,Parts,Other products,Other products ,Other Imports,Other products ,KGM,0
85184000,Microphones and stands therefor,Microphones and stands therefor,Other products,Other products ,Other Imports,Other products ,NMB,15
85185000,"Single loudspeakers, mounted in their enclosures","Single loudspeakers, mounted in their enclosures",Other products,Other products ,Other Imports,Other products ,NMB,15
85189000,"Multiple loudspeakers, mounted in the same enclosure","Multiple loudspeakers, mounted in the same enclosure",Other products,Other products ,Other Imports,Other products ,NMB,15
85192000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85193000,"Headphones & earphones, whether or not combined with a microphone, and sets.....,","Headphones & earphones, whether or not combined with a microphone, and sets.....,",Other products,Other products ,Other Imports,Other products ,NMB,15
85195000,Audio-frequency electric amplifiers,Audio-frequency electric amplifiers,Other products,Other products ,Other Imports,Other products ,NMB,15
85198100,Electric sound amplifier sets,Electric sound amplifier sets,Other products,Other products ,Other Imports,Other products ,NMB,15
85198900,Parts,Parts,Other products,Other products ,Other Imports,Other products ,NMB,15
85211000,"Apparatus operated by coins, banknotes, bank cards, tokens or by other means of pay...","Apparatus operated by coins, banknotes, bank cards, tokens or by other means of pay...",Other products,Other products ,Other Imports,Other products ,NMB,15
85219000,Turntables,Turntables,Other products,Other products ,Other Imports,Other products ,NMB,15
85221000,Telephone answering machines,Telephone answering machines,Other products,Other products ,Other Imports,Other products ,NMB,15
85229000,"Using magnetic, optical or semiconductor","Using magnetic, optical or semiconductor",Other products,Other products ,Other Imports,Other products ,NMB,15
85232100,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85232900,Magnetic tape-type,Magnetic tape-type,Other products,Other products ,Other Imports,Other products ,NMB,15
85234100,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85234900,Pick-up cartridges,Pick-up cartridges,Other products,Other products ,Other Imports,Other products ,NMB,15
85235100,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85235200,Cards incorporating a magnetic stripe,Cards incorporating a magnetic stripe,Other products,Other products ,Other Imports,Other products ,NMB,15
85235900,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85238000,Unrecorded,Unrecorded,Other products,Other products ,Other Imports,Other products ,NMB,15
85255000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85256000,Solid-state non-volatile storage devices,Solid-state non-volatile storage devices,Other products,Other products ,Other Imports,Other products ,NMB,15
85258000,Smart Cards,Smart Cards,Other products,Other products ,Other Imports,Other products ,NMB,15
85261000,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
85269100,Other,Other,Other products,Other products ,Other Imports,Other products ,NMB,15
