Year,Month,Food.sub.category,total
2014,April,Canned Meats,11986720
2014,April,Confectionary,21936749
2014,April,Cordial,3445632
2014,April,Crisps and snacks,3636009
2014,April,Electrolyte drinks,22399445
2014,April,Noodles,16565359
2014,April,Processed Meats,11986720
2014,April,Soft Drinks,23096799
2014,April,Sugar,9230212
2014,August,Bakery products,42574171
2014,August,Canned Meats,32044519
2014,August,Confectionary,30652909
2014,August,Cordial,8316803
2014,August,Crisps and snacks,16450677
2014,August,Electrolyte drinks,22465018
2014,August,Noodles,26339394
2014,August,Processed Meats,31973502
2014,August,Soft Drinks,22126286
2014,August,Sugar,12302137
2014,December,Bakery products,70818556
2014,December,Canned Meats,33808156
2014,December,Confectionary,45048597
2014,December,Cordial,13839499
2014,December,Crisps and snacks,13742497
2014,December,Electrolyte drinks,45532501
2014,December,Noodles,28873408
2014,December,Processed Meats,27934869
2014,December,Soft Drinks,45080668
2014,December,Sugar,33489988
2014,February,Bakery products,49712935
2014,February,Canned Meats,6578031
2014,February,Confectionary,22204153
2014,February,Cordial,5948950
2014,February,Crisps and snacks,7914305
2014,February,Electrolyte drinks,16341031
2014,February,Noodles,17466900
2014,February,Processed Meats,6508909
2014,February,Soft Drinks,16555621
2014,February,Sugar,6466189
2014,January,Bakery products,33138076
2014,January,Canned Meats,44491727
2014,January,Confectionary,10364184
2014,January,Cordial,3825092
2014,January,Crisps and snacks,6758114
2014,January,Electrolyte drinks,11344164
2014,January,Noodles,18847596
2014,January,Processed Meats,44461580
2014,January,Soft Drinks,11497431
2014,January,Sugar,10346619
2014,July,Bakery products,80828628
2014,July,Canned Meats,34086311
2014,July,Confectionary,30973345
2014,July,Cordial,7311753
2014,July,Crisps and snacks,13411617
2014,July,Electrolyte drinks,9995239
2014,July,Noodles,23119494
2014,July,Processed Meats,22294259
2014,July,Soft Drinks,9930217
2014,July,Sugar,11655518
2014,June,Bakery products,51698432
2014,June,Canned Meats,14686984
2014,June,Confectionary,20552457
2014,June,Cordial,7771532
2014,June,Crisps and snacks,9372212
2014,June,Electrolyte drinks,24212968
2014,June,Noodles,26474780
2014,June,Processed Meats,14345542
2014,June,Soft Drinks,24222580
2014,June,Sugar,12363956
2014,March,Bakery products,22461919
2014,March,Canned Meats,15744512
2014,March,Confectionary,30284250
2014,March,Cordial,10419482
2014,March,Crisps and snacks,7539922
2014,March,Electrolyte drinks,23470718
2014,March,Noodles,12574669
2014,March,Processed Meats,4779169
2014,March,Soft Drinks,23624201
2014,March,Sugar,10339940
2014,May,Bakery products,43877378
2014,May,Canned Meats,13809528
2014,May,Confectionary,23235412
2014,May,Cordial,8242628
2014,May,Crisps and snacks,9920820
2014,May,Electrolyte drinks,22955582
2014,May,Noodles,26983798
2014,May,Processed Meats,13755938
2014,May,Soft Drinks,22563752
2014,May,Sugar,5123427
2014,November,Bakery products,79828722
2014,November,Canned Meats,35478745
2014,November,Confectionary,26902595
2014,November,Cordial,12337548
2014,November,Crisps and snacks,16543817
2014,November,Electrolyte drinks,33158841
2014,November,Noodles,36700870
2014,November,Processed Meats,35423594
2014,November,Soft Drinks,33760990
2014,November,Sugar,16003661
2014,October,Bakery products,29969902
2014,October,Canned Meats,3024484
2014,October,Confectionary,21581679
2014,October,Cordial,15737417
2014,October,Crisps and snacks,9595293
2014,October,Electrolyte drinks,18729950
2014,October,Noodles,20808744
2014,October,Processed Meats,2929209
2014,October,Soft Drinks,17512967
2014,October,Sugar,13102607
2014,September,Bakery products,70656509
2014,September,Canned Meats,47948491
2014,September,Confectionary,35027410
2014,September,Cordial,11712511
2014,September,Crisps and snacks,14853020
2014,September,Electrolyte drinks,23662375
2014,September,Noodles,17778012
2014,September,Processed Meats,35289670
2014,September,Soft Drinks,23722889
2014,September,Sugar,10326495
2015,April,Bakery products,91430297
2015,April,Canned Meats,21711002
2015,April,Confectionary,32098837
2015,April,Cordial,22201636
2015,April,Crisps and snacks,11757235
2015,April,Electrolyte drinks,14343679
2015,April,Noodles,44372159
2015,April,Processed Meats,8847428
2015,April,Soft Drinks,14907851
2015,April,Sugar,13367307
2015,August,Bakery products,64081480
2015,August,Canned Meats,32893851
2015,August,Confectionary,36833157
2015,August,Cordial,13082294
2015,August,Crisps and snacks,10128228
2015,August,Electrolyte drinks,21172426
2015,August,Noodles,25012058
2015,August,Processed Meats,32227960
2015,August,Soft Drinks,23385044
2015,August,Sugar,10897422
2015,December,Bakery products,73397337
2015,December,Canned Meats,28140674
2015,December,Confectionary,61478894
2015,December,Cordial,27716252
2015,December,Crisps and snacks,15595992
2015,December,Electrolyte drinks,47863277
2015,December,Noodles,26767417
2015,December,Processed Meats,27221687
2015,December,Soft Drinks,45066756
2015,December,Sugar,11413131
2015,February,Bakery products,47362264
2015,February,Canned Meats,35841016
2015,February,Confectionary,19584344
2015,February,Cordial,13394166
2015,February,Crisps and snacks,5130148
2015,February,Electrolyte drinks,30653042
2015,February,Noodles,18377210
2015,February,Processed Meats,26301727
2015,February,Soft Drinks,30423878
2015,February,Sugar,16431337
2015,January,Bakery products,32888171
2015,January,Canned Meats,5767636
2015,January,Confectionary,14278247
2015,January,Cordial,11202813
2015,January,Crisps and snacks,4322898
2015,January,Electrolyte drinks,11637180
2015,January,Noodles,16973766
2015,January,Processed Meats,5511977
2015,January,Soft Drinks,11913965
2015,January,Sugar,11517926
2015,July,Bakery products,43263478
2015,July,Canned Meats,43151866
2015,July,Confectionary,32584134
2015,July,Cordial,20003431
2015,July,Crisps and snacks,10798250
2015,July,Electrolyte drinks,8590095
2015,July,Noodles,27874134
2015,July,Processed Meats,41631698
2015,July,Soft Drinks,3208406
2015,July,Sugar,10439531
2015,June,Bakery products,68862018
2015,June,Canned Meats,26994268
2015,June,Confectionary,37152088
2015,June,Cordial,17542951
2015,June,Crisps and snacks,18390180
2015,June,Electrolyte drinks,33235551
2015,June,Noodles,31656115
2015,June,Processed Meats,16167487
2015,June,Soft Drinks,31045174
2015,June,Sugar,13927979
2015,March,Bakery products,57472563
2015,March,Canned Meats,17243268
2015,March,Confectionary,38630857
2015,March,Cordial,18377887
2015,March,Crisps and snacks,14662824
2015,March,Electrolyte drinks,17119356
2015,March,Noodles,41862175
2015,March,Processed Meats,5971761
2015,March,Soft Drinks,17760199
2015,March,Sugar,2164758
2015,May,Bakery products,51806321
2015,May,Canned Meats,5027451
2015,May,Confectionary,18235063
2015,May,Cordial,15287224
2015,May,Crisps and snacks,4259566
2015,May,Electrolyte drinks,22932365
2015,May,Noodles,18432294
2015,May,Processed Meats,5006898
2015,May,Soft Drinks,22039479
2015,May,Sugar,6998312
2015,November,Bakery products,82645332
2015,November,Canned Meats,15017755
2015,November,Confectionary,52158204
2015,November,Cordial,22095546
2015,November,Crisps and snacks,20846127
2015,November,Electrolyte drinks,18415753
2015,November,Noodles,35512229
2015,November,Processed Meats,14675144
2015,November,Soft Drinks,16935034
2015,November,Sugar,9286312
2015,October,Bakery products,91110688
2015,October,Canned Meats,29431150
2015,October,Confectionary,46955804
2015,October,Cordial,18745913
2015,October,Crisps and snacks,16266603
2015,October,Electrolyte drinks,9740424
2015,October,Noodles,36648574
2015,October,Processed Meats,20952616
2015,October,Soft Drinks,8400812
2015,October,Sugar,14655081
2015,September,Bakery products,42516452
2015,September,Canned Meats,5435145
2015,September,Confectionary,27121711
2015,September,Cordial,24518583
